product,variant,sku,status,tier,cat,ckb_cost,ship_domestic_cn,agent_qc,intl_ship,duty_tax,ship_est,landed,cost_source,price,mult_now,price_proposed,mult_proposed,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,10%OFF_売価,10%OFF_粗利額,10%OFF_粗利率,10%OFF_限界利益,10%OFF_BE_ROAS,10%OFF_CPA上限,15%OFF_売価,15%OFF_粗利額,15%OFF_粗利率,15%OFF_限界利益,15%OFF_BE_ROAS,15%OFF_CPA上限,判定
アブストラクト オブジェ,ラッキーキャットのペア-O11,cd92d5ec9a58941b12944db9f3cde68d,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,9480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,ノットデコレーション-H38,1bc403c2a05ed4a9bba330ff372bb6ed,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,9480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,コーヒー色のガラスの花瓶-A55,b414e97d924bc272ccfe7c39c6bc037c,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,6980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,白い双頭花瓶-E88,fb4d1081470264108ddbdd5ac726fce9,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,6480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,陶器コーヒーカップ-N66,658f9def757e31b83fefd579954a5238,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,6480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,スティックマンブックストップ-T78,b5e4f2f7e89931a952a531c6d20e7fa1,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,6980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,アインシュタイン原稿-C20,191ce5dc8d92c18f76292b4d245e1d11,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,9480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,シュラグ花瓶-レッドスモール-H63,f95267d75899a7db1cf00e8282954998,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,16980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,シュラグ花瓶-大-Q49,97f04c82685b8f9c9c228ab1f6196a53,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,18480,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,スナグルフラワー花瓶-I72,7ba1fe4c9b7d035d2e77e89cfaec6ca1,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,9980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
