商品,variant,sku,status,tier,cat,分類,ship_bucket,ship_est,ckb_cost,推定着地原価,cost_source,Sale除外,現価格,新通常価格,備考,PAIR対象,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,通常_返金引当,通常_倍率,SummerSale10_売価,SummerSale10_粗利額,SummerSale10_粗利率,SummerSale10_限界利益,SummerSale10_BE_ROAS,SummerSale10_CPA上限,SummerSale10_返金引当,SummerSale10_倍率,MB2点_売価,MB2点_粗利額,MB2点_粗利率,MB2点_限界利益,MB2点_BE_ROAS,MB2点_CPA上限,MB2点_返金引当,MB2点_倍率,MB3点以上_売価,MB3点以上_粗利額,MB3点以上_粗利率,MB3点以上_限界利益,MB3点以上_BE_ROAS,MB3点以上_CPA上限,MB3点以上_返金引当,MB3点以上_倍率,PAIR15_売価,PAIR15_粗利額,PAIR15_粗利率,PAIR15_限界利益,PAIR15_BE_ROAS,PAIR15_CPA上限,PAIR15_返金引当,PAIR15_倍率
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き パールホワイト,ba4eca5633219572344e574b5062107f,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,1996,2796,推定(ckb_cost + ship_est),,8480,7480,雑誌3冊付き,P-A,7480,4684,62.6%,3901,1.92,2731,514,2.68,,,,,,,,,6732,3936,58.5%,3217,2.09,2252,476,2.41,6358,3562,56.0%,2875,2.21,2013,458,2.27,6358,3562,56.0%,2875,2.21,2013,458,2.27
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き マットブラック,043c6ce59288f4e637dfe5184f318efa,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,1996,2796,推定(ckb_cost + ship_est),,8480,7480,雑誌3冊付き,P-A,7480,4684,62.6%,3901,1.92,2731,514,2.68,,,,,,,,,6732,3936,58.5%,3217,2.09,2252,476,2.41,6358,3562,56.0%,2875,2.21,2013,458,2.27,6358,3562,56.0%,2875,2.21,2013,458,2.27
セラミック ブックエンド,アーチライン ブックスタンド パールホワイト,a2c3760b1bc87363b76c29257054a1c5,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,1746,2546,推定(ckb_cost + ship_est),,7980,6980,本体のみ,P-A,6980,4434,63.5%,3706,1.88,2594,476,2.74,,,,,,,,,6282,3736,59.5%,3068,2.05,2148,441,2.47,5933,3387,57.1%,2749,2.16,1925,424,2.33,5933,3387,57.1%,2749,2.16,1925,424,2.33
セラミック ブックエンド,アーチライン ブックスタンド マットブラック,a17d885349ed46057d7d14d8f0a0e9bf,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,1746,2546,推定(ckb_cost + ship_est),,7980,6980,本体のみ,P-A,6980,4434,63.5%,3706,1.88,2594,476,2.74,,,,,,,,,6282,3736,59.5%,3068,2.05,2148,441,2.47,5933,3387,57.1%,2749,2.16,1925,424,2.33,5933,3387,57.1%,2749,2.16,1925,424,2.33
セル サイドボード,ホワイト Aタイプ / 幅50×奥行35×高さ52.5cm,9feb89d52da0cf51d6d50cf83f962590,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,7472,10972,推定(ckb_cost + ship_est),,33480,31980,Aタイプ,—,31980,21008,65.7%,17709,1.81,12396,2148,2.91,28782,17810,61.9%,14786,1.95,10350,1988,2.62,,,,,,,,,,,,,,,,,,,,,,,,
セル サイドボード,ブラック Aタイプ / 幅50×奥行35×高さ52.5cm,ba0c178e35a349e64233449856c0c13f,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,7472,10972,推定(ckb_cost + ship_est),,33480,31980,Aタイプ,—,31980,21008,65.7%,17709,1.81,12396,2148,2.91,28782,17810,61.9%,14786,1.95,10350,1988,2.62,,,,,,,,,,,,,,,,,,,,,,,,
セル サイドボード,ホワイト Bタイプ / 幅50×奥行35×高さ52.5cm,82ce2d2926ae52167411b53631bb6c60,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,7971,11471,推定(ckb_cost + ship_est),,34980,33480,Bタイプ,—,33480,22009,65.7%,18556,1.80,12989,2248,2.92,30132,18661,61.9%,15496,1.94,10847,2080,2.63,,,,,,,,,,,,,,,,,,,,,,,,
セル サイドボード,ブラック Bタイプ / 幅50×奥行35×高さ52.5cm,c92a60f86cdf943ba40bfdeb2ca905f1,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,7971,11471,推定(ckb_cost + ship_est),,34980,33480,Bタイプ,—,33480,22009,65.7%,18556,1.80,12989,2248,2.92,30132,18661,61.9%,15496,1.94,10847,2080,2.63,,,,,,,,,,,,,,,,,,,,,,,,
セル モジュールキャビネット,シングル Aタイプ 幅75×奥行35×高さ70cm,45722313e1218e2f7ba24b599e052b1c,DRAFT,tier-core,storage,除外_DRAFT,大型,3500,,原価待ち,原価待ち,,39480,39480,価格設計対象外(除外_DRAFT),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セル モジュールキャビネット,シングル Bタイプ 幅75×奥行35×高さ70cm,260fd4a5b8b793cae5dec5022f16aec5,DRAFT,tier-core,storage,除外_DRAFT,大型,3500,,原価待ち,原価待ち,,46480,46480,価格設計対象外(除外_DRAFT),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セル モジュールキャビネット,シングル Cタイプ 幅75×奥行35×高さ70cm,9f8b62bce2483c8608d6d8de98334b41,DRAFT,tier-core,storage,除外_DRAFT,大型,3500,,原価待ち,原価待ち,,50480,50480,価格設計対象外(除外_DRAFT),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セル モジュールキャビネット,ダブル Aタイプ 幅150×奥行35×高さ70cm,eb0fbfee661102f80b2ab299590804bc,DRAFT,tier-core,storage,除外_DRAFT,大型,3500,,原価待ち,原価待ち,,92480,92480,価格設計対象外(除外_DRAFT),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セル モジュールキャビネット,ダブル Bタイプ 幅150×奥行35×高さ70cm,685bce782560abc0cd163f2f8013fee0,DRAFT,tier-core,storage,除外_DRAFT,大型,3500,,原価待ち,原価待ち,,92480,92480,価格設計対象外(除外_DRAFT),—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソラ キャットハンモック,ファブリック グレー,108b0dc0e0bad0bdf88b77370e3717fb,ACTIVE,tier-core,pet-furniture,保留_市場調査,大型,3500,4973,8473,推定(ckb_cost + ship_est),,20480,20480,価格設計対象外(保留_市場調査),—,20480,12007,58.6%,9822,2.09,6875,1448,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソラ キャットハンモック,ファブリック ベージュ,d52de93c868d7322a01e9bcfc6e7b7dc,ACTIVE,tier-core,pet-furniture,保留_市場調査,大型,3500,4973,8473,推定(ckb_cost + ship_est),,20480,20480,価格設計対象外(保留_市場調査),—,20480,12007,58.6%,9822,2.09,6875,1448,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソラ キャットハンモック,木製フレーム ベージュ（クッション付き）,4579d46734814c2073a47d9ffe183e32,ACTIVE,tier-core,pet-furniture,保留_市場調査,大型,3500,4973,8473,推定(ckb_cost + ship_est),,20480,20480,価格設計対象外(保留_市場調査),—,20480,12007,58.6%,9822,2.09,6875,1448,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ソラ キャットハンモック,木製フレーム グレー（クッション付き）,d8093439f7aea64aef353acf897fbe58,ACTIVE,tier-core,pet-furniture,保留_市場調査,大型,3500,4973,8473,推定(ckb_cost + ship_est),,20480,20480,価格設計対象外(保留_市場調査),—,20480,12007,58.6%,9822,2.09,6875,1448,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ツインベル アラームクロック,ホワイト,0d9069aadbf4ab17ccf3bddf69e4e3c8,ACTIVE,tier-aov,object,SUMMER_SALE,小物,800,997,1797,推定(ckb_cost + ship_est),,5480,4980,Owner承認済み,P-F,4980,3183,63.9%,2665,1.87,1865,339,2.77,4482,2685,59.9%,2210,2.03,1547,314,2.49,,,,,,,,,,,,,,,,,4233,2436,57.5%,1982,2.14,1387,302,2.36
デュオ ナイトテーブル,天然木 1連 / ラバーウッド × ステンレス天板,b2b0b5df37fa7f2eda9a39de857f5751,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,14025,17525,推定(ckb_cost + ship_est),,53480,49980,1連,—,49980,32455,64.9%,27280,1.83,19096,3375,2.85,44982,27457,61.0%,22712,1.98,15899,3125,2.57,,,,,,,,,,,,,,,,,,,,,,,,
デュオ ナイトテーブル,天然木 2連 / ラバーウッド × ステンレス天板,8d3b616f47d3c16429f7d4a73434e0a5,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,31237,34737,推定(ckb_cost + ship_est),,104980,99980,2連,—,99980,65243,65.3%,54908,1.82,38436,6736,2.88,89982,55245,61.4%,45770,1.97,32039,6236,2.59,,,,,,,,,,,,,,,,,,,,,,,,
デュオ ナイトテーブル,ブラック 1連 / ラバーウッド × ステンレス天板,5ed747e288c42486e0ed8e70951a2ab4,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,14025,17525,推定(ckb_cost + ship_est),,53480,49980,1連,—,49980,32455,64.9%,27280,1.83,19096,3375,2.85,44982,27457,61.0%,22712,1.98,15899,3125,2.57,,,,,,,,,,,,,,,,,,,,,,,,
デュオ ナイトテーブル,ブラック 2連 / ラバーウッド × ステンレス天板,fe24c5b36b8e11aea02d5888028d654f,ACTIVE,tier-core,storage,SUMMER_SALE,大型,3500,31237,34737,推定(ckb_cost + ship_est),,104980,99980,2連,—,99980,65243,65.3%,54908,1.82,38436,6736,2.88,89982,55245,61.4%,45770,1.97,32039,6236,2.59,,,,,,,,,,,,,,,,,,,,,,,,
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（1脚）,f95de56dc5ae72dddab037a31ac85f58,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5372,7122,推定(ckb_cost + ship_est),,21980,20980,1脚,—,20980,13858,66.1%,11698,1.79,8188,1405,2.95,18882,11760,62.3%,9780,1.93,6846,1300,2.65,,,,,,,,,,,,,,,,,,,,,,,,
ハル ダイニングチェア,ウォールナット × グレーレザー調（1脚）,66534c50a2e84f7325295556bd51f753,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5372,7122,推定(ckb_cost + ship_est),,21980,20980,1脚,—,20980,13858,66.1%,11698,1.79,8188,1405,2.95,18882,11760,62.3%,9780,1.93,6846,1300,2.65,,,,,,,,,,,,,,,,,,,,,,,,
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（2脚セット）,ec1e80f521e6b25b48fd78902e3de0a0,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,9871,11621,推定(ckb_cost + ship_est),YES(セット価格のため),35480,33980,2脚セット(構造的二重割引に注意),—,33980,22359,65.8%,18856,1.80,13199,2280,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ハル ダイニングチェア,ウォールナット × グレーレザー調（2脚セット）,4204cd6168b8b2ed94e1e2c636a4018a,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,9871,11621,推定(ckb_cost + ship_est),YES(セット価格のため),35480,33980,2脚セット(構造的二重割引に注意),—,33980,22359,65.8%,18856,1.80,13199,2280,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バルーンドッグ オブジェ,ブルー / 幅21×奥行7.5×高さ18cm,994c4b086820abeb527a60044275e816,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,グリーン / 幅21×奥行7.5×高さ18cm,38abe9bb2c2e51270eabe1e756b45025,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,ピンク / 幅21×奥行7.5×高さ18cm,258167debc56c33ca4a6574e3d4236cb,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,マルチカラー / 幅21×奥行7.5×高さ18cm,79bd4179da79fb2fc982b60044e00385,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,ゴールド / 幅21×奥行7.5×高さ18cm,d9dc8606261849e776997393a0efe792,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,シルバー / 幅21×奥行7.5×高さ18cm,827a3e1539a7882340a1d41533f1426f,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,パールホワイト / 幅21×奥行7.5×高さ18cm,6066adc934248df629535895abc0c1e3,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,ブルーグレー / 幅21×奥行7.5×高さ18cm,7e898398eea72c7ecdcbcbb7206f2570,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
バルーンドッグ オブジェ,オレンジレッド / 幅21×奥行7.5×高さ18cm,e9dbf34cf81c5b6f1117b0d5c9ffbc08,ACTIVE,tier-brand-builder,object,MULTI_BUY,小物,800,474,1274,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-F,3480,2206,63.4%,1843,1.89,1290,238,2.73,,,,,,,,,3132,1858,59.3%,1525,2.05,1067,220,2.46,2958,1684,56.9%,1366,2.17,956,212,2.32,2958,1684,56.9%,1366,2.17,956,212,2.32
パイピング クッション,ブラウン パイピング / 45×45cm（中材付き）,d8818d6dcb4b9335416a2f665e91fbfc,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1219,2019,推定(ckb_cost + ship_est),,6480,5980,CKB 1219帯,P-C,5980,3961,66.2%,3346,1.79,2342,400,2.96,,,,,,,,,5382,3363,62.5%,2799,1.92,1959,370,2.67,5083,3064,60.3%,2526,2.01,1768,355,2.52,5083,3064,60.3%,2526,2.01,1768,355,2.52
パイピング クッション,ブラウン フレンチフラワー / 45×45cm（中材付き）,f64d694128a7e0f3bef294c4ab0fbb96,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1219,2019,推定(ckb_cost + ship_est),,6480,5980,CKB 1219帯,P-C,5980,3961,66.2%,3346,1.79,2342,400,2.96,,,,,,,,,5382,3363,62.5%,2799,1.92,1959,370,2.67,5083,3064,60.3%,2526,2.01,1768,355,2.52,5083,3064,60.3%,2526,2.01,1768,355,2.52
パイピング クッション,ミルキーホワイト ダイヤキルト / 45×45cm（中材付き）,e999445af7f129580d529f89f2a7749c,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1219,2019,推定(ckb_cost + ship_est),,6480,5980,CKB 1219帯,P-C,5980,3961,66.2%,3346,1.79,2342,400,2.96,,,,,,,,,5382,3363,62.5%,2799,1.92,1959,370,2.67,5083,3064,60.3%,2526,2.01,1768,355,2.52,5083,3064,60.3%,2526,2.01,1768,355,2.52
パイピング クッション,オフホワイト フレンチフラワー / 45×45cm（中材付き）,6ee575faf01b93bc4aebd9b2d771e447,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1219,2019,推定(ckb_cost + ship_est),,6480,5980,CKB 1219帯,P-C,5980,3961,66.2%,3346,1.79,2342,400,2.96,,,,,,,,,5382,3363,62.5%,2799,1.92,1959,370,2.67,5083,3064,60.3%,2526,2.01,1768,355,2.52,5083,3064,60.3%,2526,2.01,1768,355,2.52
パイピング クッション,ブラウン ヘリンボーンチェック / 45×45cm（中材付き）,922262d1335c88bcf8489839816a654a,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1094,1894,推定(ckb_cost + ship_est),,5980,5480,CKB 1094帯,P-C,5480,3586,65.4%,3020,1.81,2114,369,2.89,,,,,,,,,4932,3038,61.6%,2519,1.96,1763,341,2.60,4658,2764,59.3%,2269,2.05,1588,328,2.46,4658,2764,59.3%,2269,2.05,1588,328,2.46
パイピング クッション,ミルクイエロー ブリック / 45×45cm（中材付き）,e80d1522c7098febd365e6050bd60f49,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1369,2169,推定(ckb_cost + ship_est),,6980,6480,CKB 1369帯,P-C,6480,4311,66.5%,3645,1.78,2552,432,2.99,,,,,,,,,5832,3663,62.8%,3053,1.91,2137,400,2.69,5508,3339,60.6%,2757,2.00,1930,384,2.54,5508,3339,60.6%,2757,2.00,1930,384,2.54
パイピング クッション,ライトカーキ カットフラワー / 45×45cm（中材付き）,b8092ba94a66a4acc00329edcad71b5d,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1094,1894,推定(ckb_cost + ship_est),,5980,5480,CKB 1094帯,P-C,5480,3586,65.4%,3020,1.81,2114,369,2.89,,,,,,,,,4932,3038,61.6%,2519,1.96,1763,341,2.60,4658,2764,59.3%,2269,2.05,1588,328,2.46,4658,2764,59.3%,2269,2.05,1588,328,2.46
パイピング クッション,カーキ ワイドストライプ / 45×45cm（中材付き）,2f84c3b5a775a450a8e9a227ab340528,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,1219,2019,推定(ckb_cost + ship_est),,6480,5980,CKB 1219帯,P-C,5980,3961,66.2%,3346,1.79,2342,400,2.96,,,,,,,,,5382,3363,62.5%,2799,1.92,1959,370,2.67,5083,3064,60.3%,2526,2.01,1768,355,2.52,5083,3064,60.3%,2526,2.01,1768,355,2.52
ビス ダイニングチェア,ブラック × ベージュパッチワーク,40f54f66091edf591eec4114ea9d4a1e,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5947,7697,推定(ckb_cost + ship_est),,23480,22980,パッチワーク系,—,22980,15283,66.5%,12922,1.78,9045,1534,2.99,20682,12985,62.8%,10821,1.91,7575,1419,2.69,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ブラック × ブラックパッチワーク,127a25ce45be89cdebdc6f5737d9188c,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5947,7697,推定(ckb_cost + ship_est),,23480,22980,パッチワーク系,—,22980,15283,66.5%,12922,1.78,9045,1534,2.99,20682,12985,62.8%,10821,1.91,7575,1419,2.69,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ブラック × ベージュファブリック,470f2865fb2906169e1128531e04f974,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,6697,8447,推定(ckb_cost + ship_est),,25980,24980,ファブリック系,—,24980,16533,66.2%,13962,1.79,9774,1671,2.96,22482,14035,62.4%,11679,1.92,8175,1546,2.66,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ブラック × オフホワイトファブリック,dc1f674d953fc4034a0b3081388bb714,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,6697,8447,推定(ckb_cost + ship_est),,25980,24980,ファブリック系,—,24980,16533,66.2%,13962,1.79,9774,1671,2.96,22482,14035,62.4%,11679,1.92,8175,1546,2.66,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ダークウォールナット × ライスイエローファブリック,40fea582b71215b2350490e7403e206e,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,6697,8447,推定(ckb_cost + ship_est),,25980,24980,ファブリック系,—,24980,16533,66.2%,13962,1.79,9774,1671,2.96,22482,14035,62.4%,11679,1.92,8175,1546,2.66,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ダークウォールナット × オフホワイトファブリック,23eb64717035be7c51dfd00be533c77b,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,6697,8447,推定(ckb_cost + ship_est),,25980,24980,ファブリック系,—,24980,16533,66.2%,13962,1.79,9774,1671,2.96,22482,14035,62.4%,11679,1.92,8175,1546,2.66,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ダークウォールナット × ベージュパッチワーク,18dce98460fc8f94843bd61f9d234c7e,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5947,7697,推定(ckb_cost + ship_est),,23480,22980,パッチワーク系,—,22980,15283,66.5%,12922,1.78,9045,1534,2.99,20682,12985,62.8%,10821,1.91,7575,1419,2.69,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ダークウォールナット × ブラックパッチワーク,7eaf3594cd8b46c6b74a5b77fe49a7e1,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5947,7697,推定(ckb_cost + ship_est),,23480,22980,パッチワーク系,—,22980,15283,66.5%,12922,1.78,9045,1534,2.99,20682,12985,62.8%,10821,1.91,7575,1419,2.69,,,,,,,,,,,,,,,,,,,,,,,,
ビス ダイニングチェア,ダークウォールナット × オレンジファブリック,f6e97e5b36057ef7be7f224f16127f41,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,5947,7697,推定(ckb_cost + ship_est),,23480,22980,パッチワーク系,—,22980,15283,66.5%,12922,1.78,9045,1534,2.99,20682,12985,62.8%,10821,1.91,7575,1419,2.69,,,,,,,,,,,,,,,,,,,,,,,,
ピボ テーブルランプ,レッド,4a9615e29629c2a3273780d0bf0c0f99,ACTIVE,tier-brand-builder,lighting,SUMMER_SALE,中型,1750,7496,9246,推定(ckb_cost + ship_est),,28480,26980,現Variantの CKB原価のみ使用,—,26980,17734,65.7%,14951,1.80,10466,1811,2.92,24282,15036,61.9%,12485,1.94,8740,1676,2.63,,,,,,,,,,,,,,,,,,,,,,,,
ピボ テーブルランプ,ダークグリーン,f2cace257776a331d6841064f744d08c,ACTIVE,tier-brand-builder,lighting,SUMMER_SALE,中型,1750,7496,9246,推定(ckb_cost + ship_est),,28480,26980,現Variantの CKB原価のみ使用,—,26980,17734,65.7%,14951,1.80,10466,1811,2.92,24282,15036,61.9%,12485,1.94,8740,1676,2.63,,,,,,,,,,,,,,,,,,,,,,,,
ピボ テーブルランプ,オレンジ,f3cd002bec518d3fb6b0c5336b7b413e,ACTIVE,tier-brand-builder,lighting,SUMMER_SALE,中型,1750,7496,9246,推定(ckb_cost + ship_est),,28480,26980,現Variantの CKB原価のみ使用,—,26980,17734,65.7%,14951,1.80,10466,1811,2.92,24282,15036,61.9%,12485,1.94,8740,1676,2.63,,,,,,,,,,,,,,,,,,,,,,,,
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 100×150cm,e983f9cfb6828b4645a902b69c2f810c,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,324,1124,推定(ckb_cost + ship_est),,3480,2980,100x150cm,P-C,2980,1856,62.3%,1544,1.93,1080,205,2.65,,,,,,,,,2682,1558,58.1%,1271,2.11,890,190,2.39,2533,1409,55.6%,1135,2.23,794,183,2.25,2533,1409,55.6%,1135,2.23,794,183,2.25
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 150×200cm,d2a5645fbbf6249fd82ecf74b898eaf7,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,549,1349,推定(ckb_cost + ship_est),,4480,3980,150x200 / 180x200cm,P-C,3980,2631,66.1%,2221,1.79,1555,266,2.95,,,,,,,,,3582,2233,62.3%,1857,1.93,1300,247,2.66,3383,2034,60.1%,1676,2.02,1173,237,2.51,3383,2034,60.1%,1676,2.02,1173,237,2.51
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 180×200cm,5cd7e3bacba406bac4c6729e7a892299,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,624,1424,推定(ckb_cost + ship_est),,4480,3980,150x200 / 180x200cm,P-C,3980,2556,64.2%,2143,1.86,1500,270,2.79,,,,,,,,,3582,2158,60.2%,1779,2.01,1245,250,2.52,3383,1959,57.9%,1597,2.12,1118,240,2.38,3383,1959,57.9%,1597,2.12,1118,240,2.38
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 100×150cm,cad6c2b689bc2f50cd5d932eac52bfba,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,324,1124,推定(ckb_cost + ship_est),,3480,2980,100x150cm,P-C,2980,1856,62.3%,1544,1.93,1080,205,2.65,,,,,,,,,2682,1558,58.1%,1271,2.11,890,190,2.39,2533,1409,55.6%,1135,2.23,794,183,2.25,2533,1409,55.6%,1135,2.23,794,183,2.25
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 150×200cm,eb92aa5bd7f4b97e87894944040ab635,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,549,1349,推定(ckb_cost + ship_est),,4480,3980,150x200 / 180x200cm,P-C,3980,2631,66.1%,2221,1.79,1555,266,2.95,,,,,,,,,3582,2233,62.3%,1857,1.93,1300,247,2.66,3383,2034,60.1%,1676,2.02,1173,237,2.51,3383,2034,60.1%,1676,2.02,1173,237,2.51
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 180×200cm,1e2a74b8fa053fd06b254c1a13e21917,ACTIVE,tier-aov,textile,MULTI_BUY,小物,800,624,1424,推定(ckb_cost + ship_est),,4480,3980,150x200 / 180x200cm,P-C,3980,2556,64.2%,2143,1.86,1500,270,2.79,,,,,,,,,3582,2158,60.2%,1779,2.01,1245,250,2.52,3383,1959,57.9%,1597,2.12,1118,240,2.38,3383,1959,57.9%,1597,2.12,1118,240,2.38
