product,status,variant,variant_id,price,bucket,cost_source,landed_est,sale,normal_price,normal_gp_rate,normal_mp5,normal_mp8,best_disc_price,best_disc_gp_rate,best_disc_mp5,best_disc_mp8,worst_price,worst_gp_rate,worst_mp5,worst_mp8,cpa_at_disc,be_roas_at_disc,mult_now
モコ ラウンジチェア,ACTIVE,コーデュロイ ブルー,50296079319280,40480,中型,推定(ckb+ship_est),12195,SALE10,40480,0.699,24803,23589,36432,0.665,21103,20010,35932,0.661,20646,19568,14772,1.73,3.32
モコ ラウンジチェア,ACTIVE,コーデュロイ オレンジ,50296079515888,40480,中型,推定(ckb+ship_est),12195,SALE10,40480,0.699,24803,23589,36432,0.665,21103,20010,35932,0.661,20646,19568,14772,1.73,3.32
ロンド コーヒーテーブル,ACTIVE,ウォールナット × ブラック脚 50cm / 組み立て式,50296065523952,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,マットブラック × ブラック脚 50cm / 組み立て式,50296065589488,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ホワイト × ブラック脚 50cm / 組み立て式,50296065655024,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ウォールナット × ホワイト脚 50cm / 組み立て式,50296065720560,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,マットブラック × ホワイト脚 50cm / 組み立て式,50296065786096,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ホワイト × ホワイト脚 50cm / 組み立て式,50296065851632,27480,大型,推定(ckb+ship_est),8997,SALE10,27480,0.673,16119,15295,24732,0.636,13608,12866,24232,0.629,13151,12424,9525,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ウォールナット × ブラック脚 60cm / 組み立て式,50296065917168,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,マットブラック × ブラック脚 60cm / 組み立て式,50296065949936,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ウォールナット × ホワイト脚 60cm / 組み立て式,50296065982704,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ホワイト × ブラック脚 60cm / 組み立て式,50296066015472,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,マットブラック × ホワイト脚 60cm / 組み立て式,50296066048240,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
ロンド コーヒーテーブル,ACTIVE,ホワイト × ホワイト脚 60cm / 組み立て式,50296066081008,30480,大型,推定(ckb+ship_est),9997,SALE10,30480,0.672,17861,16947,27432,0.636,15075,14252,26932,0.629,14618,13810,10553,1.82,3.05
デュオ ナイトテーブル,ACTIVE,天然木 1連 / ラバーウッド × ステンレス天板,50296064213232,50480,大型,推定(ckb+ship_est),17525,SALE10,50480,0.653,28613,27099,45432,0.614,23999,22636,44932,0.61,23542,22194,16799,1.89,2.88
デュオ ナイトテーブル,ACTIVE,天然木 2連 / ラバーウッド × ステンレス天板,50296064246000,100480,大型,推定(ckb+ship_est),34737,SALE10,100480,0.654,57101,54087,90432,0.616,47917,45204,89932,0.614,47460,44762,33542,1.89,2.89
デュオ ナイトテーブル,ACTIVE,ブラック 1連 / ラバーウッド × ステンレス天板,50296064311536,50480,大型,推定(ckb+ship_est),17525,SALE10,50480,0.653,28613,27099,45432,0.614,23999,22636,44932,0.61,23542,22194,16799,1.89,2.88
デュオ ナイトテーブル,ACTIVE,ブラック 2連 / ラバーウッド × ステンレス天板,50296064344304,100480,大型,推定(ckb+ship_est),34737,SALE10,100480,0.654,57101,54087,90432,0.616,47917,45204,89932,0.614,47460,44762,33542,1.89,2.89
セラミック ブックエンド,ACTIVE,アーチライン ブックスタンド雑誌3冊付き パールホワイト,50296080400624,7980,小物,推定(ckb+ship_est),2796,MB15,7980,0.65,4497,4258,6783,0.588,3403,3200,6283,0.555,2946,2758,2382,1.99,2.85
セラミック ブックエンド,ACTIVE,アーチライン ブックスタンド雑誌3冊付き マットブラック,50296080433392,7980,小物,推定(ckb+ship_est),2796,MB15,7980,0.65,4497,4258,6783,0.588,3403,3200,6283,0.555,2946,2758,2382,1.99,2.85
セラミック ブックエンド,ACTIVE,アーチライン ブックスタンド パールホワイト,50296080498928,7480,小物,推定(ckb+ship_est),2546,MB15,7480,0.66,4290,4066,6358,0.6,3265,3074,5858,0.565,2808,2632,2285,1.95,2.94
セラミック ブックエンド,ACTIVE,アーチライン ブックスタンド マットブラック,50296080531696,7480,小物,推定(ckb+ship_est),2546,MB15,7480,0.66,4290,4066,6358,0.6,3265,3074,5858,0.565,2808,2632,2285,1.95,2.94
ジオメトリック ブックスタンド,ACTIVE,ミッドセンチュリー ブックスタンド,50296080302320,8480,小物,推定(ckb+ship_est),2774,SALE10,8480,0.673,4976,4722,7632,0.637,4201,3972,7132,0.611,3744,3530,2941,1.82,3.06
ジオメトリック ブックスタンド,ACTIVE,ミッドセンチュリー ブックスタンド+ダミーブック3冊,50296080335088,9480,小物,推定(ckb+ship_est),3024,SALE10,9480,0.681,5640,5356,8532,0.646,4774,4518,8032,0.624,4317,4076,3341,1.79,3.13
コーデュロイ フォールディングチェア,ACTIVE,ブラウン,50296079712496,11480,中型,推定(ckb+ship_est),3749,SALE10,11480,0.673,6743,6399,10332,0.637,5694,5384,9832,0.619,5237,4942,3986,1.81,3.06
コーデュロイ フォールディングチェア,ACTIVE,ピーコックブルー,50296079745264,11480,中型,推定(ckb+ship_est),3749,SALE10,11480,0.673,6743,6399,10332,0.637,5694,5384,9832,0.619,5237,4942,3986,1.81,3.06
コーデュロイ フォールディングチェア,ACTIVE,オレンジ,50296079778032,11480,中型,推定(ckb+ship_est),3749,SALE10,11480,0.673,6743,6399,10332,0.637,5694,5384,9832,0.619,5237,4942,3986,1.81,3.06
コーデュロイ フォールディングチェア,ACTIVE,ピンク,50296079810800,11480,中型,推定(ckb+ship_est),3749,SALE10,11480,0.673,6743,6399,10332,0.637,5694,5384,9832,0.619,5237,4942,3986,1.81,3.06
