商品,variant,分類,ship_bucket,推定着地原価,新通常価格,最悪ケース施策,最悪ケース売価,引当3%_返金引当額,引当3%_粗利率,引当3%_限界利益,引当3%_BE_ROAS,引当3%_CPA上限,引当5%_返金引当額,引当5%_粗利率,引当5%_限界利益,引当5%_BE_ROAS,引当5%_CPA上限,引当8%_返金引当額,引当8%_粗利率,引当8%_限界利益,引当8%_BE_ROAS,引当8%_CPA上限
MORU フラワーラウンジ,アイボリー,SUMMER_SALE,中型,3131,8980,SummerSale10,8082,242,61.3%,4418,1.83,3092,404,61.3%,4256,1.90,2979,647,61.3%,4013,2.01,2809
MORU フラワーラウンジ,オリーブグリーン,SUMMER_SALE,中型,3131,8980,SummerSale10,8082,242,61.3%,4418,1.83,3092,404,61.3%,4256,1.90,2979,647,61.3%,4013,2.01,2809
ガラスフラワー オブジェ,ルビー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ブルー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ピンク（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,ホワイト（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
ガラスフラワー オブジェ,アンバー（7点セット）,MULTI_BUY,小物,1231,3480,MB3点以上,2958,89,58.4%,1532,1.93,1072,148,58.4%,1473,2.01,1031,237,58.4%,1384,2.14,969
クラウド サイドテーブル,スターライトブラック（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クラウド サイドテーブル,ミルキーホワイト（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クラウド サイドテーブル,ウォールナット（1段）,SUMMER_SALE,大型,4064,11980,PAIR15,10183,305,60.1%,5447,1.87,3813,509,60.1%,5243,1.94,3670,815,60.1%,4938,2.06,3456
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,SUMMER_SALE,中型,3699,10980,SummerSale10,9882,296,62.6%,5531,1.79,3872,494,62.6%,5333,1.85,3733,791,62.6%,5037,1.96,3526
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,SUMMER_SALE,大型,11021,31980,SummerSale10,28782,863,61.7%,15861,1.81,11103,1439,61.7%,15286,1.88,10700,2303,61.7%,14422,2.00,10096
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,SUMMER_SALE,大型,11021,31980,SummerSale10,28782,863,61.7%,15861,1.81,11103,1439,61.7%,15286,1.88,10700,2303,61.7%,14422,2.00,10096
コイル サイドテーブル,グリーン / 全高45cm（天板径34cm）,SUMMER_SALE,大型,11021,31980,SummerSale10,28782,863,61.7%,15861,1.81,11103,1439,61.7%,15286,1.88,10700,2303,61.7%,14422,2.00,10096
コーデュロイ フォールディングチェア,ブラウン,SUMMER_SALE,中型,3749,10980,SummerSale10,9882,296,62.1%,5481,1.80,3837,494,62.1%,5283,1.87,3698,791,62.1%,4987,1.98,3491
コーデュロイ フォールディングチェア,ピーコックブルー,SUMMER_SALE,中型,3749,10980,SummerSale10,9882,296,62.1%,5481,1.80,3837,494,62.1%,5283,1.87,3698,791,62.1%,4987,1.98,3491
コーデュロイ フォールディングチェア,オレンジ,SUMMER_SALE,中型,3749,10980,SummerSale10,9882,296,62.1%,5481,1.80,3837,494,62.1%,5283,1.87,3698,791,62.1%,4987,1.98,3491
コーデュロイ フォールディングチェア,ピンク,SUMMER_SALE,中型,3749,10980,SummerSale10,9882,296,62.1%,5481,1.80,3837,494,62.1%,5283,1.87,3698,791,62.1%,4987,1.98,3491
コーデュロイ フォールディングチェア,オリーブグリーン,SUMMER_SALE,中型,3749,10980,SummerSale10,9882,296,62.1%,5481,1.80,3837,494,62.1%,5283,1.87,3698,791,62.1%,4987,1.98,3491
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド,SUMMER_SALE,小物,2774,7980,SummerSale10,7182,215,61.4%,3934,1.83,2754,359,61.4%,3790,1.89,2653,575,61.4%,3575,2.01,2502
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド+ダミーブック3冊,SUMMER_SALE,小物,3024,8980,SummerSale10,8082,242,62.6%,4525,1.79,3167,404,62.6%,4363,1.85,3054,647,62.6%,4120,1.96,2884
ジャカード 中綿付きクッション,イエロー ウェーブ / 45×45cm（中材付き）,MULTI_BUY,小物,1187,3480,MB3点以上,2958,89,59.9%,1576,1.88,1103,148,59.9%,1517,1.95,1062,237,59.9%,1428,2.07,1000
ジャカード 中綿付きクッション,イエロー ダイヤグリッド / 45×45cm（中材付き）,MULTI_BUY,小物,1187,3480,MB3点以上,2958,89,59.9%,1576,1.88,1103,148,59.9%,1517,1.95,1062,237,59.9%,1428,2.07,1000
ジャカード 中綿付きクッション,イエロー スモールスクエア / 45×45cm（中材付き）,MULTI_BUY,小物,1187,3480,MB3点以上,2958,89,59.9%,1576,1.88,1103,148,59.9%,1517,1.95,1062,237,59.9%,1428,2.07,1000
ジャカード 中綿付きクッション,イエロー エコー / 45×45cm（中材付き）,MULTI_BUY,小物,1187,3480,MB3点以上,2958,89,59.9%,1576,1.88,1103,148,59.9%,1517,1.95,1062,237,59.9%,1428,2.07,1000
ジャカード 中綿付きクッション,イエロー ヘリンボーン / 45×45cm（中材付き）,MULTI_BUY,小物,1187,3480,MB3点以上,2958,89,59.9%,1576,1.88,1103,148,59.9%,1517,1.95,1062,237,59.9%,1428,2.07,1000
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き パールホワイト,MULTI_BUY,小物,2796,7480,MB3点以上,6358,191,56.0%,3142,2.02,2200,318,56.0%,3015,2.11,2111,509,56.0%,2824,2.25,1977
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き マットブラック,MULTI_BUY,小物,2796,7480,MB3点以上,6358,191,56.0%,3142,2.02,2200,318,56.0%,3015,2.11,2111,509,56.0%,2824,2.25,1977
セラミック ブックエンド,アーチライン ブックスタンド パールホワイト,MULTI_BUY,小物,2546,6980,MB3点以上,5933,178,57.1%,2995,1.98,2097,297,57.1%,2877,2.06,2014,475,57.1%,2699,2.20,1889
セラミック ブックエンド,アーチライン ブックスタンド マットブラック,MULTI_BUY,小物,2546,6980,MB3点以上,5933,178,57.1%,2995,1.98,2097,297,57.1%,2877,2.06,2014,475,57.1%,2699,2.20,1889
セル サイドボード,ホワイト Aタイプ / 幅50×奥行35×高さ52.5cm,SUMMER_SALE,大型,10972,31980,SummerSale10,28782,863,61.9%,15910,1.81,11137,1439,61.9%,15335,1.88,10734,2303,61.9%,14471,1.99,10130
セル サイドボード,ブラック Aタイプ / 幅50×奥行35×高さ52.5cm,SUMMER_SALE,大型,10972,31980,SummerSale10,28782,863,61.9%,15910,1.81,11137,1439,61.9%,15335,1.88,10734,2303,61.9%,14471,1.99,10130
セル サイドボード,ホワイト Bタイプ / 幅50×奥行35×高さ52.5cm,SUMMER_SALE,大型,11471,33480,SummerSale10,30132,904,61.9%,16672,1.81,11671,1507,61.9%,16070,1.88,11249,2411,61.9%,15166,1.99,10616
セル サイドボード,ブラック Bタイプ / 幅50×奥行35×高さ52.5cm,SUMMER_SALE,大型,11471,33480,SummerSale10,30132,904,61.9%,16672,1.81,11671,1507,61.9%,16070,1.88,11249,2411,61.9%,15166,1.99,10616
ツインベル アラームクロック,ホワイト,SUMMER_SALE,小物,1797,4980,PAIR15,4233,127,57.5%,2157,1.96,1510,212,57.5%,2072,2.04,1450,339,57.5%,1945,2.18,1361
デュオ ナイトテーブル,天然木 1連 / ラバーウッド × ステンレス天板,SUMMER_SALE,大型,17525,49980,SummerSale10,44982,1349,61.0%,24488,1.84,17142,2249,61.0%,23589,1.91,16512,3599,61.0%,22239,2.02,15567
デュオ ナイトテーブル,天然木 2連 / ラバーウッド × ステンレス天板,SUMMER_SALE,大型,34737,99980,SummerSale10,89982,2699,61.4%,49306,1.82,34514,4499,61.4%,47507,1.89,33255,7199,61.4%,44807,2.01,31365
デュオ ナイトテーブル,ブラック 1連 / ラバーウッド × ステンレス天板,SUMMER_SALE,大型,17525,49980,SummerSale10,44982,1349,61.0%,24488,1.84,17142,2249,61.0%,23589,1.91,16512,3599,61.0%,22239,2.02,15567
デュオ ナイトテーブル,ブラック 2連 / ラバーウッド × ステンレス天板,SUMMER_SALE,大型,34737,99980,SummerSale10,89982,2699,61.4%,49306,1.82,34514,4499,61.4%,47507,1.89,33255,7199,61.4%,44807,2.01,31365
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（1脚）,SUMMER_SALE,中型,7122,20980,SummerSale10,18882,566,62.3%,10514,1.80,7360,944,62.3%,10136,1.86,7095,1511,62.3%,9570,1.97,6699
ハル ダイニングチェア,ウォールナット × グレーレザー調（1脚）,SUMMER_SALE,中型,7122,20980,SummerSale10,18882,566,62.3%,10514,1.80,7360,944,62.3%,10136,1.86,7095,1511,62.3%,9570,1.97,6699
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（2脚セット）,SUMMER_SALE,中型,11621,33980,通常,33980,1019,65.8%,20116,1.69,14081,1699,65.8%,19437,1.75,13606,2718,65.8%,18417,1.85,12892
ハル ダイニングチェア,ウォールナット × グレーレザー調（2脚セット）,SUMMER_SALE,中型,11621,33980,通常,33980,1019,65.8%,20116,1.69,14081,1699,65.8%,19437,1.75,13606,2718,65.8%,18417,1.85,12892
バルーンドッグ オブジェ,ブルー / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,グリーン / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,ピンク / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,マルチカラー / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,ゴールド / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,シルバー / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,パールホワイト / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,ブルーグレー / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
バルーンドッグ オブジェ,オレンジレッド / 幅21×奥行7.5×高さ18cm,MULTI_BUY,小物,1274,3480,MB3点以上,2958,89,56.9%,1489,1.99,1042,148,56.9%,1430,2.07,1001,237,56.9%,1341,2.21,939
パイピング クッション,ブラウン パイピング / 45×45cm（中材付き）,MULTI_BUY,小物,2019,5980,MB3点以上,5083,152,60.3%,2729,1.86,1910,254,60.3%,2627,1.94,1839,407,60.3%,2474,2.05,1732
パイピング クッション,ブラウン フレンチフラワー / 45×45cm（中材付き）,MULTI_BUY,小物,2019,5980,MB3点以上,5083,152,60.3%,2729,1.86,1910,254,60.3%,2627,1.94,1839,407,60.3%,2474,2.05,1732
パイピング クッション,ミルキーホワイト ダイヤキルト / 45×45cm（中材付き）,MULTI_BUY,小物,2019,5980,MB3点以上,5083,152,60.3%,2729,1.86,1910,254,60.3%,2627,1.94,1839,407,60.3%,2474,2.05,1732
パイピング クッション,オフホワイト フレンチフラワー / 45×45cm（中材付き）,MULTI_BUY,小物,2019,5980,MB3点以上,5083,152,60.3%,2729,1.86,1910,254,60.3%,2627,1.94,1839,407,60.3%,2474,2.05,1732
パイピング クッション,ブラウン ヘリンボーンチェック / 45×45cm（中材付き）,MULTI_BUY,小物,1894,5480,MB3点以上,4658,140,59.3%,2457,1.90,1720,233,59.3%,2363,1.97,1654,373,59.3%,2224,2.09,1557
パイピング クッション,ミルクイエロー ブリック / 45×45cm（中材付き）,MULTI_BUY,小物,2169,6480,MB3点以上,5508,165,60.6%,2975,1.85,2083,275,60.6%,2865,1.92,2006,441,60.6%,2700,2.04,1890
パイピング クッション,ライトカーキ カットフラワー / 45×45cm（中材付き）,MULTI_BUY,小物,1894,5480,MB3点以上,4658,140,59.3%,2457,1.90,1720,233,59.3%,2363,1.97,1654,373,59.3%,2224,2.09,1557
パイピング クッション,カーキ ワイドストライプ / 45×45cm（中材付き）,MULTI_BUY,小物,2019,5980,MB3点以上,5083,152,60.3%,2729,1.86,1910,254,60.3%,2627,1.94,1839,407,60.3%,2474,2.05,1732
ビス ダイニングチェア,ブラック × ベージュパッチワーク,SUMMER_SALE,中型,7697,22980,SummerSale10,20682,620,62.8%,11620,1.78,8134,1034,62.8%,11206,1.85,7844,1655,62.8%,10586,1.95,7410
ビス ダイニングチェア,ブラック × ブラックパッチワーク,SUMMER_SALE,中型,7697,22980,SummerSale10,20682,620,62.8%,11620,1.78,8134,1034,62.8%,11206,1.85,7844,1655,62.8%,10586,1.95,7410
ビス ダイニングチェア,ブラック × ベージュファブリック,SUMMER_SALE,中型,8447,24980,SummerSale10,22482,674,62.4%,12551,1.79,8786,1124,62.4%,12102,1.86,8471,1799,62.4%,11427,1.97,7999
ビス ダイニングチェア,ブラック × オフホワイトファブリック,SUMMER_SALE,中型,8447,24980,SummerSale10,22482,674,62.4%,12551,1.79,8786,1124,62.4%,12102,1.86,8471,1799,62.4%,11427,1.97,7999
ビス ダイニングチェア,ダークウォールナット × ライスイエローファブリック,SUMMER_SALE,中型,8447,24980,SummerSale10,22482,674,62.4%,12551,1.79,8786,1124,62.4%,12102,1.86,8471,1799,62.4%,11427,1.97,7999
ビス ダイニングチェア,ダークウォールナット × オフホワイトファブリック,SUMMER_SALE,中型,8447,24980,SummerSale10,22482,674,62.4%,12551,1.79,8786,1124,62.4%,12102,1.86,8471,1799,62.4%,11427,1.97,7999
ビス ダイニングチェア,ダークウォールナット × ベージュパッチワーク,SUMMER_SALE,中型,7697,22980,SummerSale10,20682,620,62.8%,11620,1.78,8134,1034,62.8%,11206,1.85,7844,1655,62.8%,10586,1.95,7410
