商品名,status,tier,Variant数,CKB原価レンジ,ship_est,推定着地原価レンジ,現価格レンジ,現在倍率,通常価格再設計案,再設計後倍率,0%粗利率,10%OFF粗利率,15%OFF粗利率,限界利益(通常),限界利益(15%OFF),BE_ROAS(通常),BE_ROAS(15%OFF),CPA上限(通常),CPA上限(15%OFF),判定
フェイクファー ブランケット,ACTIVE,tier-aov,30,¥324 – ¥624,¥800,"¥1,124 – ¥1,424","¥3,480 – ¥4,480",×3.10 – ×3.32,"¥3,480 – ¥4,480",×3.10 – ×3.32,67.7% – 69.9%,64.1% – 66.5%,62.0% – 64.6%,"¥2,231 – ¥2,970","¥1,728 – ¥2,322",1.51 – 1.56,1.64 – 1.71,"¥1,562 – ¥2,079","¥1,209 – ¥1,625",OK
フラワー キャットタワー,ACTIVE,tier-core,2,"¥6,897","¥3,500","¥10,397","¥31,480",×3.03,"¥31,480",×3.03,67.0%,63.3%,61.1%,"¥19,950","¥15,398",1.58,1.74,"¥13,965","¥10,778",要検討(15%OFF後 ×2.57)
フラワー フロアクッション,ACTIVE,tier-aov,8,¥594 – ¥894,¥800,"¥1,394 – ¥1,694","¥7,480 – ¥8,480",×5.01 – ×5.37,"¥4,480 – ¥5,480",×3.21 – ×3.23,80.0% – 81.4%,77.8% – 79.3%,76.5% – 78.1%,"¥5,817 – ¥6,481","¥4,735 – ¥5,255",1.29 – 1.31,1.34 – 1.37,"¥4,072 – ¥4,537","¥3,315 – ¥3,678",OK
フラワーバッド テーブルランプ,ACTIVE,tier-core,4,¥469,"¥1,750","¥2,219","¥6,980",×3.15,"¥6,980",×3.15,68.2%,64.7%,62.6%,"¥4,510","¥3,500",1.55,1.69,"¥3,157","¥2,450",OK
フランネル ブランケット,ACTIVE,tier-aov,33,¥299 – ¥624,¥800,"¥1,099 – ¥1,424","¥3,480 – ¥4,480",×3.15 – ×3.26,"¥3,480 – ¥4,480",×3.15 – ×3.26,68.2% – 69.3%,64.7% – 65.9%,62.6% – 63.9%,"¥2,256 – ¥2,945","¥1,753 – ¥2,297",1.52 – 1.55,1.66 – 1.69,"¥1,579 – ¥2,061","¥1,227 – ¥1,608",OK
プラッシュ クッション,DRAFT,tier-aov,8,¥299 – ¥344,¥800,"¥1,099 – ¥1,144","¥3,480",×3.04 – ×3.17,"¥3,480",×3.04 – ×3.17,67.1% – 68.4%,63.5% – 64.9%,61.3% – 62.8%,"¥2,211 – ¥2,256","¥1,708 – ¥1,753",1.54 – 1.57,1.69 – 1.73,"¥1,548 – ¥1,579","¥1,195 – ¥1,227",要検討(15%OFF後 ×2.59)
ベルベット クッション,ACTIVE,tier-aov,8,"¥894 – ¥1,719",¥800,"¥1,694 – ¥2,519","¥5,480 – ¥7,980",×3.04 – ×3.23,"¥5,480 – ¥7,980",×3.04 – ×3.23,67.1% – 69.1%,63.4% – 65.7%,61.3% – 63.6%,"¥3,589 – ¥5,199","¥2,796 – ¥4,045",1.53 – 1.58,1.67 – 1.73,"¥2,512 – ¥3,639","¥1,957 – ¥2,831",要検討(15%OFF後 ×2.58)
ボア ラウンジチェア,ACTIVE,tier-core,10,"¥1,871","¥1,750","¥3,621","¥16,480",×4.55,"¥10,980",×3.03,78.0%,75.6%,74.2%,"¥12,266","¥9,883",1.34,1.42,"¥8,586","¥6,918",OK
マッシュルーム コードレステーブルランプ,ACTIVE,tier-brand-builder,7,"¥1,624","¥1,750","¥3,374","¥10,480",×3.11,"¥10,480",×3.11,67.8%,64.2%,62.1%,"¥6,729","¥5,213",1.56,1.71,"¥4,710","¥3,649",OK
ミニ アラームクロック,ACTIVE,tier-aov,4,¥719,¥800,"¥1,519","¥4,980",×3.28,"¥4,980",×3.28,69.5%,66.1%,64.1%,"¥3,282","¥2,562",1.52,1.65,"¥2,297","¥1,793",OK
モコ ラウンジチェア,ACTIVE,tier-brand-builder,6,"¥10,445","¥1,750","¥12,195","¥42,480",×3.48,"¥36,980",×3.03,71.3%,68.1%,66.2%,"¥28,756","¥22,613",1.48,1.60,"¥20,129","¥15,829",OK
ルナ ウォールライト,DRAFT,tier-core,8,原価待ち,"¥1,750",原価待ち,"¥9,480 – ¥9,980",原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
レジン スカルプチャーオブジェ,ACTIVE,tier-aov,3,¥389,¥800,"¥1,189","¥3,980",×3.35,"¥3,980",×3.35,70.1%,66.8%,64.9%,"¥2,648","¥2,072",1.50,1.63,"¥1,853","¥1,451",OK
ロロ サイドテーブル,ACTIVE,tier-brand-builder,3,"¥3,404","¥3,500","¥6,904","¥20,980",×3.04,"¥20,980",×3.04,67.1%,63.4%,61.3%,"¥13,321","¥10,287",1.57,1.73,"¥9,325","¥7,201",要検討(15%OFF後 ×2.58)
ロンド コーヒーテーブル,ACTIVE,tier-core,12,"¥5,497 – ¥6,497","¥3,500","¥8,997 – ¥9,997","¥27,480 – ¥30,480",×3.05,"¥27,480 – ¥30,480",×3.05,67.2% – 67.3%,63.6%,61.4% – 61.5%,"¥17,494 – ¥19,386","¥13,520 – ¥14,978",1.57,1.73,"¥12,246 – ¥13,570","¥9,464 – ¥10,485",要検討(15%OFF後 ×2.59)
手編みコースター,ACTIVE,tier-aov,7,¥232 – ¥499,¥800,"¥1,032 – ¥1,299","¥3,480 – ¥3,980",×3.06 – ×3.46,"¥3,480 – ¥3,980",×3.03 – ×3.37,67.4% – 71.1%,63.7% – 67.9%,61.6% – 66.0%,"¥2,256 – ¥2,688","¥1,753 – ¥2,112",1.48 – 1.57,1.60 – 1.72,"¥1,579 – ¥1,881","¥1,227 – ¥1,479",OK
