product_id,status,variant_id,old_price,new_price
10214219743472,ACTIVE,50279721730288,8980,9480
10214219743472,ACTIVE,50279721763056,8980,9480
10218005364976,ACTIVE,50296057200880,2980,3480
10218005364976,ACTIVE,50296057233648,3980,4480
10218005364976,ACTIVE,50296057266416,3980,4480
10218005364976,ACTIVE,50296057364720,2980,3480
10218005364976,ACTIVE,50296057397488,3980,4480
10218005364976,ACTIVE,50296057430256,3980,4480
10218005364976,ACTIVE,50296057528560,2980,3480
10218005364976,ACTIVE,50296057561328,3980,4480
10218005364976,ACTIVE,50296057594096,3980,4480
10218005364976,ACTIVE,50296057692400,2980,3480
10218005364976,ACTIVE,50296057725168,3980,4480
10218005364976,ACTIVE,50296057757936,3980,4480
10218005364976,ACTIVE,50296057856240,2980,3480
10218005364976,ACTIVE,50296057889008,3980,4480
10218005364976,ACTIVE,50296057921776,3980,4480
10218005364976,ACTIVE,50296058020080,2980,3480
10218005364976,ACTIVE,50296058052848,3980,4480
10218005364976,ACTIVE,50296058085616,3980,4480
10218005364976,ACTIVE,50296058183920,2980,3480
10218005364976,ACTIVE,50296058216688,3980,4480
10218005364976,ACTIVE,50296058249456,3980,4480
10218005364976,ACTIVE,50296058347760,2980,3480
10218005364976,ACTIVE,50296058380528,3980,4480
10218005364976,ACTIVE,50296058413296,3980,4480
10218005364976,ACTIVE,50296058511600,2980,3480
10218005364976,ACTIVE,50296058544368,3980,4480
10218005364976,ACTIVE,50296058577136,3980,4480
10218005364976,ACTIVE,50296058675440,2980,3480
10218005364976,ACTIVE,50296058708208,3980,4480
10218005364976,ACTIVE,50296058740976,3980,4480
10218005364976,ACTIVE,50296058839280,2980,3480
10218005364976,ACTIVE,50296058872048,3980,4480
10218005364976,ACTIVE,50296058904816,3980,4480
10218005397744,ACTIVE,50296059003120,2980,3480
10218005397744,ACTIVE,50296059068656,3980,4480
10218005397744,ACTIVE,50296059101424,3980,4480
10218005397744,ACTIVE,50296059232496,2980,3480
10218005397744,ACTIVE,50296059298032,3980,4480
10218005397744,ACTIVE,50296059330800,3980,4480
10218005397744,ACTIVE,50296059461872,2980,3480
10218005397744,ACTIVE,50296059527408,3980,4480
10218005397744,ACTIVE,50296059560176,3980,4480
10218005397744,ACTIVE,50296059691248,2980,3480
10218005397744,ACTIVE,50296059756784,3980,4480
10218005397744,ACTIVE,50296059789552,3980,4480
10218005397744,ACTIVE,50296059920624,2980,3480
10218005397744,ACTIVE,50296059986160,3980,4480
10218005397744,ACTIVE,50296060018928,3980,4480
10218005397744,ACTIVE,50296060150000,2980,3480
10218005397744,ACTIVE,50296060215536,3980,4480
10218005397744,ACTIVE,50296060248304,3980,4480
10218005397744,ACTIVE,50296060379376,2980,3480
10218005397744,ACTIVE,50296060444912,3980,4480
10218005397744,ACTIVE,50296060477680,3980,4480
10218005397744,ACTIVE,50296060608752,2980,3480
10218005397744,ACTIVE,50296060739824,3980,4480
10218005397744,ACTIVE,50296060772592,3980,4480
10218005397744,ACTIVE,50296060903664,2980,3480
10218005397744,ACTIVE,50296060969200,3980,4480
10218005397744,ACTIVE,50296061001968,3980,4480
10218005397744,ACTIVE,50296061133040,2980,3480
10218005397744,ACTIVE,50296061198576,3980,4480
10218005397744,ACTIVE,50296061231344,3980,4480
10218006315248,ACTIVE,50296062673136,11980,12480
10218006315248,ACTIVE,50296062705904,11980,12480
10218006315248,ACTIVE,50296062738672,11980,12480
10218006348016,ACTIVE,50296062869744,10980,11480
10218006348016,ACTIVE,50296062902512,10980,11480
10218006348016,ACTIVE,50296062935280,10980,11480
10218006446320,ACTIVE,50296063590640,5980,6480
10218006446320,ACTIVE,50296063623408,5980,6480
10218006446320,ACTIVE,50296063656176,5980,6480
10218006446320,ACTIVE,50296063688944,5980,6480
10218006479088,ACTIVE,50296063918320,31980,32480
10218006479088,ACTIVE,50296063951088,31980,32480
10218006479088,ACTIVE,50296063983856,33480,33980
10218006479088,ACTIVE,50296064016624,33480,33980
10218006511856,ACTIVE,50296064213232,49980,50480
10218006511856,ACTIVE,50296064246000,99980,100480
10218006511856,ACTIVE,50296064311536,49980,50480
10218006511856,ACTIVE,50296064344304,99980,100480
10218006544624,DRAFT,50296064409840,3480,3980
10218006544624,DRAFT,50296064442608,3480,3980
10218006544624,DRAFT,50296064475376,3480,3980
10218006544624,DRAFT,50296064508144,3480,3980
10218006544624,DRAFT,50296064540912,3480,3980
10218006544624,DRAFT,50296064573680,3480,3980
10218006544624,DRAFT,50296064606448,3480,3980
10218006544624,DRAFT,50296064639216,3480,3980
10218006577392,ACTIVE,50296065523952,26980,27480
10218006577392,ACTIVE,50296065589488,26980,27480
10218006577392,ACTIVE,50296065655024,26980,27480
10218006577392,ACTIVE,50296065720560,26980,27480
10218006577392,ACTIVE,50296065786096,26980,27480
10218006577392,ACTIVE,50296065851632,26980,27480
10218006577392,ACTIVE,50296065917168,29980,30480
10218006577392,ACTIVE,50296065949936,29980,30480
10218006577392,ACTIVE,50296065982704,29980,30480
10218006577392,ACTIVE,50296066015472,29980,30480
10218006577392,ACTIVE,50296066048240,29980,30480
10218006577392,ACTIVE,50296066081008,29980,30480
10218008051952,ACTIVE,50296079188208,39980,40480
10218008051952,ACTIVE,50296079220976,39980,40480
10218008051952,ACTIVE,50296079253744,39980,40480
10218008051952,ACTIVE,50296079286512,39980,40480
10218008051952,ACTIVE,50296079319280,39980,40480
10218008051952,ACTIVE,50296079515888,39980,40480
10218008084720,ACTIVE,50296079712496,10980,11480
10218008084720,ACTIVE,50296079745264,10980,11480
10218008084720,ACTIVE,50296079778032,10980,11480
10218008084720,ACTIVE,50296079810800,10980,11480
10218008084720,ACTIVE,50296079843568,10980,11480
10218008150256,ACTIVE,50296080302320,7980,8480
10218008150256,ACTIVE,50296080335088,8980,9480
10218008183024,ACTIVE,50296080400624,7480,7980
10218008183024,ACTIVE,50296080433392,7480,7980
10218008183024,ACTIVE,50296080498928,6980,7480
10218008183024,ACTIVE,50296080531696,6980,7480
10218008215792,DRAFT,50296080564464,58980,59480
